Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Sale Amount,Sale Amt 1-Week Change,Sale Amt Minimum,Sale Amt Maximum,Sale-to-Finished Size Ratio,Rent Amount,Rent Amt 1-Week Change,Rent Amt Minimum,Rent Amt Maximum,Rent-to-Finished Size Ratio,Sale-to-Rent Ratio,Tax Assessment Year,Tax Assessment Amt,Year Built,Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,ZPID
Mount Washington,314 Virginia Ave,Pittsburgh,PA,15211,40.431486,-80.011324,SingleFamily,3244,960,81863,1959,68765,90868,85.27,1079,27,723,1349,1.12,75.87,2015,53800,1915,1,2,6,3/18/05,124,22000,11515369
Mount Washington,447 Grace St,Pittsburgh,PA,15211,40.428768,-80.013848,SingleFamily,3005,1488,206805,6772,194397,223349,138.98,1678,-24,1376,2030,1.13,123.24,2015,128100,2005,2.5,3,5,7/6/12,36,204500,87992859
Brighton Heights,3918 Oswald St,Pittsburgh,PA,15212,40.485134,-80.042823,SingleFamily,4515,1224,83044,6819,75570,89688,67.85,924,27,730,1164,0.75,89.87,2015,81200,1954,2,3,6,12/18/08,79,85000,11268675
Brighton Heights,3929 Riddile St,Pittsburgh,PA,15212,40.485021,-80.040599,SingleFamily,4488,1740,131979,591,122740,142537,75.85,1093,-26,853,1432,0.63,120.75,2015,66000,1929,1,3,7,,,,11268772
Brighton Heights,2011 Termon Ave,Pittsburgh,PA,15212,40.482571,-80.044992,SingleFamily,5003,1698,110586,2896,96210,118327,65.13,976,95,644,1405,0.57,113.31,2015,96800,1930,2,5,7,7/17/98,204,60000,11269232
Brighton Heights,1022 Lapish Rd,Pittsburgh,PA,15212,40.487702,-80.030126,SingleFamily,8721,2123,187243,18122,162901,205967,88.2,1374,83,852,1800,0.65,136.28,2015,112300,1900,3.5,3,6,2/1/05,125,180000,11269762
Perry North,173 Watson Blvd,Pittsburgh,PA,15214,40.482446,-80.010067,SingleFamily,2063,968,67766,2987,60312,73187,70.01,837,6,670,1272,0.86,80.96,2015,50800,1936,1,2,5,3/3/06,112,57000,11271007
Upper Lawrenceville,205 54th St,Pittsburgh,PA,15201,40.482588,-79.950557,SingleFamily,1742,1918,123834,8368,102782,141171,64.56,1186,33,842,1720,0.62,104.41,2015,76500,1900,2,3,8,3/26/04,136,3336,11272814
Stanton Heights,1101 Premier St,Pittsburgh,PA,15201,40.483383,-79.939831,SingleFamily,3000,1204,133414,3275,125409,140085,110.81,1238,-19,1089,1486,1.03,107.77,2015,111800,1940,2,3,6,5/11/12,38,110000,11275726
Stanton Heights,14 Fairfield Ct,Pittsburgh,PA,15201,40.482821,-79.934736,SingleFamily,4122,1188,154459,2634,145191,162182,130.02,1237,4,965,1435,1.04,124.87,2015,102500,1960,1,3,6,,,,11275845
Stanton Heights,1376 Simona Dr,Pittsburgh,PA,15201,40.483301,-79.936535,SingleFamily,4848,1288,162448,5731,151077,170570,126.12,1341,30,1006,1676,1.04,121.14,2015,151800,1932,1,3,6,3/15/10,64,152000,11275863
Stanton Heights,1357 Hawthorne St,Pittsburgh,PA,15201,40.482775,-79.936411,SingleFamily,3600,966,124458,13101,116991,130681,128.84,1144,54,938,1396,1.18,108.79,2015,86800,1930,1,3,6,10/1/07,93,123711,11275883
Stanton Heights,6512 Martha St,Pittsburgh,PA,15206,40.486583,-79.930602,SingleFamily,3733,1680,156523,12487,144001,165914,93.17,1173,27,680,1666,0.7,133.44,2015,125500,1951,2,4,9,9/2/04,130,127000,11278275
Morningside,6933 Standish St,Pittsburgh,PA,15206,40.485963,-79.923371,SingleFamily,2900,1500,191055,43824,168128,210160,127.37,1303,87,951,1733,0.87,146.63,2015,108600,1916,2,4,8,4/14/11,51,150450,11278543
Morningside,1661 Jancey St,Pittsburgh,PA,15206,40.484232,-79.928455,SingleFamily,1600,1080,75480,13159,66422,83783,69.89,933,60,681,1269,0.86,80.9,2015,50000,1930,1,2,5,4/2/03,147,25000,11278709
Highland Park,6417 Stanton Ave,Pittsburgh,PA,15206,40.469534,-79.912671,SingleFamily,2805,1080,124786,2002,102325,138512,115.54,1186,15,889,1483,1.1,105.22,2015,72900,1925,1,3,5,10/20/09,69,79000,11284239
Homewood North,1114 Lincoln Ave,Pittsburgh,PA,15206,40.464311,-79.899545,SingleFamily,2613,1218,38806,14,34537,43463,31.86,861,25,611,1300,0.71,45.07,2015,24700,1900,2,4,6,,,,11285514
Point Breeze,143 Conover Rd,Pittsburgh,PA,15208,40.453125,-79.911706,SingleFamily,6000,1939,359139,-22449,330408,395053,185.22,2474,7,1534,2919,1.28,145.17,2015,228300,1938,3.5,4,7,,,,11286374
Point Breeze,6731 Reynolds St,Pittsburgh,PA,15206,40.450723,-79.914273,SingleFamily,2616,1620,348563,1029,303250,376448,215.16,2201,212,1651,2553,1.36,158.37,2015,165800,1908,2.5,3,6,7/25/12,36,257000,11287065
Point Breeze North,6936 Thomas Blvd,Pittsburgh,PA,15208,40.452481,-79.905757,SingleFamily,3943,1800,235048,-5784,206842,263254,130.58,1849,25,1424,2330,1.03,127.12,2015,161300,1964,2,3,7,7/6/88,324,69500,11287283
Point Breeze North,7034 Thomas Blvd,Pittsburgh,PA,15208,40.451774,-79.903416,SingleFamily,8371,3921,350767,-8002,322706,389351,89.46,1931,-124,1255,3534,0.49,181.65,2015,197300,1911,5,7,10,8/24/84,371,89000,11287313
Point Breeze,426 Glen Arden Dr,Pittsburgh,PA,15208,40.448486,-79.912147,SingleFamily,11900,3738,741845,47530,697334,823448,198.46,3342,46,2473,4111,0.89,221.98,2015,457100,1934,4,5,10,2/7/07,101,620000,11287486
Point Breeze,528 Hastings St,Pittsburgh,PA,15206,40.448699,-79.915604,SingleFamily,2400,1640,282752,12039,248822,302545,172.41,2138,60,1710,2737,1.3,132.25,2015,217300,1897,1.5,4,6,6/6/13,25,279000,11287530
Point Breeze,428 Hastings St,Pittsburgh,PA,15206,40.449547,-79.914849,SingleFamily,2700,1743,310121,4765,279109,338032,177.92,2063,26,1403,2826,1.18,150.33,2015,176800,1910,1.5,5,5,10/31/13,21,220000,11287542
